# x/R r/R y/R Ux Ur <ux^2> <ur^2> <uxur> 
-0.1000 0.0201 0.9799 1.0421 0.0176 7.0649 1.2092 -1.8340 
-0.1000 0.0301 0.9699 1.0457 0.0263 5.7626 1.5700 -1.8561 
-0.1000 0.0401 0.9599 1.0505 0.0337 4.9040 1.9031 -1.8378 
-0.1000 0.0501 0.9499 1.0564 0.0398 3.9943 2.0620 -1.7536 
-0.1000 0.0602 0.9398 1.0624 0.0447 3.2294 2.0804 -1.5966 
-0.1000 0.0702 0.9298 1.0687 0.0491 2.6532 1.9876 -1.3863 
-0.1000 0.0802 0.9198 1.0753 0.0524 2.2222 1.8379 -1.1568 
-0.1000 0.0902 0.9098 1.0822 0.0548 1.9165 1.6891 -0.9394 
-0.1000 0.1003 0.8997 1.0882 0.0565 1.6943 1.5560 -0.7501 
-0.1000 0.1103 0.8897 1.0931 0.0583 1.5457 1.4406 -0.5917 
-0.1000 0.1203 0.8797 1.0982 0.0596 1.4548 1.3403 -0.4619 
-0.1000 0.1304 0.8696 1.1031 0.0600 1.3750 1.2515 -0.3565 
-0.1000 0.1404 0.8596 1.1080 0.0593 1.3172 1.1834 -0.2714 
-0.1000 0.1504 0.8496 1.1128 0.0587 1.2850 1.1247 -0.2027 
-0.1000 0.1604 0.8396 1.1174 0.0584 1.2804 1.0682 -0.1472 
-0.1000 0.1705 0.8295 1.1217 0.0575 1.2776 1.0095 -0.1018 
-0.1000 0.1805 0.8195 1.1251 0.0559 1.2740 0.9623 -0.0639 
-0.1000 0.1905 0.8095 1.1275 0.0543 1.2858 0.9440 -0.0313 
-0.1000 0.2006 0.7994 1.1291 0.0532 1.2946 0.9334 -0.0023 
-0.1000 0.2106 0.7894 1.1308 0.0527 1.2932 0.9040 0.0243 
-0.1000 0.2206 0.7794 1.1326 0.0519 1.3088 0.8784 0.0489 
-0.1000 0.2306 0.7694 1.1342 0.0509 1.3348 0.8707 0.0714 
-0.1000 0.2407 0.7593 1.1351 0.0507 1.3574 0.8688 0.0914 
-0.1000 0.2507 0.7493 1.1354 0.0505 1.3779 0.8621 0.1088 
-0.1000 0.2607 0.7393 1.1354 0.0492 1.3994 0.8581 0.1238 
-0.1000 0.2707 0.7293 1.1352 0.0474 1.4256 0.8596 0.1371 
-0.1000 0.2808 0.7192 1.1349 0.0457 1.4627 0.8656 0.1493 
-0.1000 0.2908 0.7092 1.1348 0.0440 1.5002 0.8651 0.1613 
-0.1000 0.3008 0.6992 1.1348 0.0425 1.5358 0.8583 0.1734 
-0.1000 0.3109 0.6891 1.1346 0.0420 1.5764 0.8540 0.1854 
-0.1000 0.3209 0.6791 1.1349 0.0414 1.6045 0.8577 0.1969 
-0.1000 0.3309 0.6691 1.1350 0.0397 1.6251 0.8632 0.2076 
-0.1000 0.3409 0.6591 1.1342 0.0385 1.6550 0.8674 0.2175 
-0.1000 0.3510 0.6490 1.1333 0.0379 1.6877 0.8813 0.2266 
-0.1000 0.3610 0.6390 1.1328 0.0373 1.7202 0.8880 0.2355 
-0.1000 0.3710 0.6290 1.1323 0.0365 1.7664 0.8934 0.2442 
-0.1000 0.3811 0.6189 1.1320 0.0352 1.8013 0.9094 0.2528 
-0.1000 0.3911 0.6089 1.1311 0.0338 1.8305 0.9214 0.2616 
-0.1000 0.4011 0.5989 1.1291 0.0328 1.8743 0.9258 0.2709 
-0.1000 0.4111 0.5889 1.1269 0.0317 1.9178 0.9340 0.2809 
-0.1000 0.4212 0.5788 1.1248 0.0299 1.9523 0.9473 0.2913 
-0.1000 0.4312 0.5688 1.1226 0.0291 1.9837 0.9539 0.3020 
-0.1000 0.4412 0.5588 1.1206 0.0291 2.0313 0.9654 0.3128 
-0.1000 0.4512 0.5488 1.1184 0.0288 2.0796 0.9829 0.3239 
-0.1000 0.4613 0.5387 1.1160 0.0285 2.1168 0.9902 0.3355 
-0.1000 0.4713 0.5287 1.1134 0.0275 2.1587 0.9966 0.3473 
-0.1000 0.4813 0.5187 1.1111 0.0267 2.2022 1.0118 0.3591 
-0.1000 0.4914 0.5086 1.1092 0.0263 2.2513 1.0186 0.3705 
-0.1000 0.5014 0.4986 1.1068 0.0258 2.3011 1.0284 0.3813 
-0.1000 0.5114 0.4886 1.1037 0.0250 2.3447 1.0404 0.3916 
-0.1000 0.5214 0.4786 1.1005 0.0236 2.3938 1.0508 0.4021 
-0.1000 0.5315 0.4685 1.0975 0.0224 2.4448 1.0682 0.4129 
-0.1000 0.5415 0.4585 1.0948 0.0222 2.4945 1.0798 0.4237 
-0.1000 0.5515 0.4485 1.0918 0.0218 2.5465 1.0909 0.4344 
-0.1000 0.5616 0.4384 1.0894 0.0208 2.5893 1.1015 0.4446 
-0.1000 0.5716 0.4284 1.0869 0.0203 2.6366 1.1165 0.4542 
-0.1000 0.5816 0.4184 1.0837 0.0200 2.6961 1.1378 0.4632 
-0.1000 0.5916 0.4084 1.0803 0.0193 2.7431 1.1487 0.4721 
-0.1000 0.6017 0.3983 1.0769 0.0177 2.7929 1.1605 0.4811 
-0.1000 0.6117 0.3883 1.0725 0.0161 2.8572 1.1687 0.4912 
-0.1000 0.6217 0.3783 1.0682 0.0148 2.9164 1.1713 0.5024 
-0.1000 0.6317 0.3683 1.0647 0.0130 2.9742 1.1848 0.5146 
-0.1000 0.6418 0.3582 1.0610 0.0115 3.0367 1.1966 0.5269 
-0.1000 0.6518 0.3482 1.0567 0.0117 3.0912 1.2068 0.5386 
-0.1000 0.6618 0.3382 1.0536 0.0130 3.1310 1.2189 0.5496 
-0.1000 0.6719 0.3281 1.0510 0.0144 3.1819 1.2374 0.5595 
-0.1000 0.6819 0.3181 1.0468 0.0145 3.2345 1.2539 0.5685 
-0.1000 0.6919 0.3081 1.0422 0.0137 3.2871 1.2603 0.5769 
-0.1000 0.7019 0.2981 1.0380 0.0133 3.3591 1.2679 0.5850 
-0.1000 0.7120 0.2880 1.0340 0.0133 3.4315 1.2841 0.5933 
-0.1000 0.7220 0.2780 1.0291 0.0133 3.4947 1.2948 0.6023 
-0.1000 0.7320 0.2680 1.0234 0.0129 3.5563 1.2899 0.6123 
-0.1000 0.7421 0.2579 1.0178 0.0127 3.6325 1.2891 0.6232 
-0.1000 0.7521 0.2479 1.0122 0.0121 3.7208 1.2933 0.6344 
-0.1000 0.7621 0.2379 1.0071 0.0112 3.7913 1.3025 0.6457 
-0.1000 0.7721 0.2279 1.0016 0.0104 3.8560 1.3187 0.6572 
-0.1000 0.7822 0.2178 0.9959 0.0096 3.9286 1.3265 0.6692 
-0.1000 0.7922 0.2078 0.9903 0.0086 4.0213 1.3404 0.6813 
-0.1000 0.8022 0.1978 0.9838 0.0077 4.1205 1.3561 0.6926 
-0.1000 0.8122 0.1878 0.9771 0.0075 4.1856 1.3578 0.7029 
-0.1000 0.8223 0.1777 0.9703 0.0075 4.2485 1.3652 0.7127 
-0.1000 0.8323 0.1677 0.9637 0.0069 4.3165 1.3722 0.7227 
-0.1000 0.8423 0.1577 0.9562 0.0062 4.4197 1.3729 0.7329 
-0.1000 0.8524 0.1476 0.9479 0.0062 4.5351 1.3777 0.7423 
-0.1000 0.8624 0.1376 0.9399 0.0062 4.6139 1.3777 0.7502 
-0.1000 0.8724 0.1276 0.9303 0.0056 4.7075 1.3742 0.7566 
-0.1000 0.8824 0.1176 0.9190 0.0051 4.8177 1.3770 0.7620 
-0.1000 0.8925 0.1075 0.9086 0.0051 4.9244 1.3837 0.7669 
-0.1000 0.9025 0.0975 0.8970 0.0053 5.0580 1.3897 0.7702 
-0.1000 0.9125 0.0875 0.8837 0.0051 5.1919 1.3889 0.7704 
-0.1000 0.9225 0.0775 0.8686 0.0039 5.3991 1.3760 0.7662 
-0.1000 0.9326 0.0674 0.8506 0.0031 5.5348 1.3460 0.7564 
-0.1000 0.9426 0.0574 0.8304 0.0037 5.6779 1.3090 0.7426 
-0.1000 0.9526 0.0474 0.8067 0.0034 5.9490 1.2855 0.7246 
-0.1000 0.9627 0.0373 0.7800 0.0028 6.2264 1.2717 0.7044 
-0.1000 0.9727 0.0273 0.7585 0.0031 6.5217 1.1883 0.6847 
